model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,dice,dice_std,iou,iou_std,hd95,hd95_std
SegNet,0.7480081522239829,0.05872518712549878,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-Net,0.9772177642246462,0.020001817727589348,0.9677509596397711,0.01750360078427501,0.9449570784200463,0.061162805311422826,0.989695364603077,0.00563391260212039,0.9548459528451585,0.03233534071689964,0.9152877932498804,0.05532274359519752,7.249658227989879,10.527259612727185
ResU-Net++,0.9762155784750884,0.01952596142124678,0.9645469305015447,0.018796963118060388,0.9444846346790123,0.05738207206658819,0.9885789826994851,0.006175660009037636,0.9531228650724435,0.029669366212685656,0.911864080885233,0.050629412618301554,6.896407933628402,8.030692517755828
AttU-Net,0.977630615234375,0.017761113611659947,0.9627537940818188,0.019408233032010565,0.9518084560181757,0.053300310426293615,0.9877134856795965,0.007205719803483847,0.9561356526984169,0.027260716272361336,0.9171798032006352,0.0472733302372948,6.938855771515337,9.787959918118451
