image_id,model,accuracy,precision,recall,specificity,dice,iou,hd95
CHNCXR_0008_0.png,segnet,0.8334503173828125,0.0,0.0,1.0,0.0,0.0,0.0
CHNCXR_0008_0.png,unet,0.98480224609375,0.9591704471808166,0.9491525423728814,0.9919261822376009,0.9541351998526432,0.9122930609369496,3.605551275463989
CHNCXR_0008_0.png,resunetpp,0.9861602783203125,0.9666169339798583,0.9497022446174989,0.9934457443107962,0.9580849392300939,0.9195422691386499,3.0
CHNCXR_0008_0.png,attunet,0.9864044189453125,0.9604078633106743,0.9578561612459917,0.9921092620054558,0.9591303151231595,0.9214701216287678,3.0
CHNCXR_0026_0.png,segnet,0.7878265380859375,0.0,0.0,1.0,0.0,0.0,0.0
CHNCXR_0026_0.png,unet,0.98504638671875,0.9898430986129008,0.9391585760517799,0.9974046599910906,0.9638349693704332,0.9301944582947503,3.1622776601683795
CHNCXR_0026_0.png,resunetpp,0.9840240478515625,0.9888973384030418,0.9352031643293779,0.9971722414828301,0.9613010534097209,0.9254857305529856,3.0
CHNCXR_0026_0.png,attunet,0.98382568359375,0.9857067231339333,0.9373606616325063,0.9963394084948964,0.9609259805367149,0.924790691074216,3.1622776601683795
CHNCXR_0033_0.png,segnet,0.7377166748046875,0.0,0.0,1.0,0.0,0.0,0.0
CHNCXR_0033_0.png,unet,0.9572296142578125,0.9868029236599891,0.8482750596311595,0.9959666577036838,0.9123103394337557,0.838759779107225,22.30449573654309
CHNCXR_0033_0.png,resunetpp,0.9583892822265625,0.9781142554879662,0.8606085287102216,0.9931536599995863,0.9156067217528548,0.8443493150684932,22.21145713436568
CHNCXR_0033_0.png,attunet,0.95745849609375,0.9803856161184868,0.8549072080982023,0.993918960845554,0.9133569519547516,0.8405308013498828,21.435865726409027
CHNCXR_0048_0.png,segnet,0.778778076171875,0.0,0.0,1.0,0.0,0.0,0.0
CHNCXR_0048_0.png,unet,0.98809814453125,0.9618233234581202,0.9853083183887432,0.9888906305106,0.9734241908006814,0.9482243611018918,2.23606797749979
CHNCXR_0048_0.png,resunetpp,0.9881134033203125,0.9564175926542019,0.9914470961511933,0.9871664250166543,0.9736173671554849,0.9485910380782683,2.23606797749979
CHNCXR_0048_0.png,attunet,0.9876556396484375,0.9567567567567568,0.988895020002759,0.9873035777264,0.972560458569345,0.9465865575069325,2.8284271247461903
CHNCXR_0049_0.png,segnet,0.8405609130859375,0.0,0.0,1.0,0.0,0.0,0.0
CHNCXR_0049_0.png,unet,0.9888458251953125,0.940286335628851,0.9931093884582257,0.98803710494309,0.965976262508727,0.9341915736406193,3.605551275463989
CHNCXR_0049_0.png,resunetpp,0.983795166015625,0.9258687959350331,0.9765527801703512,0.9851689146259553,0.9505356311131812,0.9057340671045624,4.123105625617661
CHNCXR_0049_0.png,attunet,0.9880523681640625,0.9362700848528616,0.9926308737678247,0.9871839090892588,0.9636270729781204,0.9298072613177947,4.0
CHNCXR_0056_0.png,segnet,0.837066650390625,0.0,0.0,1.0,0.0,0.0,0.0
CHNCXR_0056_0.png,unet,0.9863433837890625,0.9491323110825453,0.968065180745458,0.9899011994604251,0.9585052621818351,0.9203169515669516,3.605551275463989
CHNCXR_0056_0.png,resunetpp,0.9859161376953125,0.9485057471264368,0.9660048698258101,0.9897918261693828,0.957175335220155,0.917867948033458,4.0
CHNCXR_0056_0.png,attunet,0.987518310546875,0.9517133956386293,0.9727477055628395,0.9903933792701156,0.9621155983697666,0.9269968763944667,3.605551275463989
CHNCXR_0058_0.png,segnet,0.8539581298828125,0.0,0.0,1.0,0.0,0.0,0.0
CHNCXR_0058_0.png,unet,0.9865264892578125,0.9727905964301262,0.9338627102706092,0.9955329223621907,0.9529292606215684,0.9100906221362387,5.656854249492381
CHNCXR_0058_0.png,resunetpp,0.982574462890625,0.9555723705545347,0.9236234458259325,0.9926561243634414,0.9393263202635214,0.8855940693247846,5.656854249492381
CHNCXR_0058_0.png,attunet,0.986419677734375,0.9532212592669939,0.9538188277087034,0.9919949968730456,0.9535199498642156,0.9111687793192933,3.605551275463989
