accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss,learning_rate
0.9166211485862732,0.6321806311607361,0.2959439158439636,0.6945520043373108,0.334511935710907,0.6629090905189514,9.999999747378752e-05
0.9704190492630005,0.7927194237709045,0.14874717593193054,0.7468657493591309,0.3384775221347809,0.6244256496429443,9.999999747378752e-05
0.9746319651603699,0.8225802183151245,0.12535026669502258,0.7454691529273987,0.34431853890419006,0.6009697914123535,9.999999747378752e-05
0.9774408340454102,0.8374923467636108,0.11339861899614334,0.7467864155769348,0.33295637369155884,0.5625975728034973,9.999999747378752e-05
0.9778209924697876,0.8450475335121155,0.10809115320444107,0.7459054589271545,0.3390860855579376,0.5258913636207581,9.999999747378752e-05
0.9790171980857849,0.8517091274261475,0.10243970155715942,0.7470147609710693,0.32742634415626526,0.49095186591148376,9.999999747378752e-05
0.979893147945404,0.8587424755096436,0.09766760468482971,0.7470613718032837,0.31294703483581543,0.4808650612831116,9.999999747378752e-05
0.9800446033477783,0.8628971576690674,0.09459350258111954,0.7470556497573853,0.22979141771793365,0.5467943549156189,9.999999747378752e-05
0.9811978340148926,0.8679211735725403,0.09043513983488083,0.7470618486404419,0.24349428713321686,0.527958869934082,4.999999873689376e-05
0.9815652966499329,0.8709279894828796,0.08839432150125504,0.7597028613090515,0.3338589370250702,0.4449489414691925,4.999999873689376e-05
0.9817029237747192,0.8722548484802246,0.0869513675570488,0.8254862427711487,0.46176213026046753,0.3551290035247803,4.999999873689376e-05
0.9819914102554321,0.8752142786979675,0.08512329310178757,0.827516496181488,0.4633167088031769,0.36869314312934875,4.999999873689376e-05
0.9824428558349609,0.8772383332252502,0.08324147015810013,0.834554135799408,0.47825726866722107,0.3846927285194397,4.999999873689376e-05
0.9824573397636414,0.8796435594558716,0.08183936029672623,0.9249377250671387,0.7103347182273865,0.20434729754924774,4.999999873689376e-05
0.9825606942176819,0.8810364007949829,0.08073225617408752,0.9404581785202026,0.7686312794685364,0.17120568454265594,4.999999873689376e-05
0.9825908541679382,0.8833653330802917,0.07943560183048248,0.9290135502815247,0.7463443875312805,0.18880711495876312,4.999999873689376e-05
0.9832836389541626,0.8858745098114014,0.07714521139860153,0.9688044190406799,0.8487432599067688,0.11062779277563095,4.999999873689376e-05
0.9833061695098877,0.8875885605812073,0.0764688029885292,0.9775251150131226,0.867884635925293,0.09176252782344818,4.999999873689376e-05
0.9834082126617432,0.8896331787109375,0.07502961903810501,0.9805840253829956,0.88121098279953,0.08285723626613617,4.999999873689376e-05
0.983089804649353,0.890234649181366,0.0749465674161911,0.9808578491210938,0.8860552906990051,0.08001547306776047,4.999999873689376e-05
