accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss,learning_rate
0.9323723912239075,0.6804354786872864,0.24128565192222595,0.7470595240592957,0.3321377635002136,0.6647839546203613,9.999999747378752e-05
0.971218466758728,0.8357540965080261,0.11779484897851944,0.7470595240592957,0.3222901225090027,0.609565019607544,9.999999747378752e-05
0.9755558371543884,0.8581727743148804,0.10045167803764343,0.7470595240592957,0.313871830701828,0.5704159736633301,9.999999747378752e-05
0.9776889681816101,0.8694427013397217,0.09175567328929901,0.7470595240592957,0.29029160737991333,0.5353178977966309,9.999999747378752e-05
0.9779723882675171,0.8754438161849976,0.0880030021071434,0.7470595240592957,0.2880319058895111,0.5249040126800537,9.999999747378752e-05
0.9787598848342896,0.8806689381599426,0.08405236154794693,0.7470595240592957,0.2712159752845764,0.5234999656677246,9.999999747378752e-05
0.9803616404533386,0.8877720236778259,0.07860928028821945,0.747052013874054,0.3119605481624603,0.48289719223976135,4.999999873689376e-05
0.9809125065803528,0.8906943202018738,0.0761692076921463,0.747110903263092,0.32692235708236694,0.45761236548423767,4.999999873689376e-05
0.9812040328979492,0.8928826451301575,0.07483603060245514,0.7486799955368042,0.3317444622516632,0.4467194378376007,4.999999873689376e-05
0.9814941883087158,0.8954321146011353,0.07301951944828033,0.7705269455909729,0.36416172981262207,0.42093557119369507,4.999999873689376e-05
0.9816336035728455,0.8964197635650635,0.07204432040452957,0.7946277856826782,0.38841965794563293,0.41662514209747314,4.999999873689376e-05
0.9817060828208923,0.8992580771446228,0.07055045664310455,0.8162234425544739,0.4485974907875061,0.374807208776474,4.999999873689376e-05
0.9822602868080139,0.9012103080749512,0.06872600317001343,0.8466259837150574,0.5266743898391724,0.33655914664268494,4.999999873689376e-05
0.9821209907531738,0.9027255177497864,0.06808158755302429,0.9298084378242493,0.7314820289611816,0.1861880123615265,4.999999873689376e-05
0.9821487069129944,0.9033234119415283,0.06767062842845917,0.937213122844696,0.7715779542922974,0.16282694041728973,4.999999873689376e-05
0.9828387498855591,0.9071941375732422,0.06475324183702469,0.9524046778678894,0.8068720102310181,0.13668295741081238,4.999999873689376e-05
0.9832010865211487,0.9087780714035034,0.06342814117670059,0.9678448438644409,0.860293984413147,0.10124002397060394,4.999999873689376e-05
0.9832656979560852,0.9102745652198792,0.06255262345075607,0.9732905030250549,0.872558057308197,0.08990605175495148,4.999999873689376e-05
0.9834598302841187,0.9120543003082275,0.06141797825694084,0.9799817800521851,0.8960102200508118,0.07328509539365768,4.999999873689376e-05
0.982272744178772,0.9103643894195557,0.06351593136787415,0.980770468711853,0.9038323163986206,0.06965937465429306,4.999999873689376e-05
