accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss,learning_rate
0.9144681692123413,0.7178099751472473,0.23378652334213257,0.6858000755310059,0.3380289673805237,0.6593815684318542,9.999999747378752e-05
0.967624843120575,0.8756624460220337,0.09765252470970154,0.7384994626045227,0.3372201919555664,0.598666250705719,9.999999747378752e-05
0.9726610779762268,0.9038131833076477,0.07843901216983795,0.7573356032371521,0.35432854294776917,0.5494745969772339,9.999999747378752e-05
0.975013017654419,0.9164071083068848,0.06987183541059494,0.7544121146202087,0.33761388063430786,0.48968076705932617,9.999999747378752e-05
0.9739692211151123,0.9161054491996765,0.07187476754188538,0.7486854195594788,0.3060553967952728,0.4788562059402466,9.999999747378752e-05
0.9763606190681458,0.922352135181427,0.06512569636106491,0.7470647096633911,0.2002272754907608,0.5984088182449341,9.999999747378752e-05
0.9781172275543213,0.9310078024864197,0.05917961522936821,0.751720666885376,0.2118448168039322,0.6254585385322571,9.999999747378752e-05
0.9787911176681519,0.9334158301353455,0.05719294026494026,0.7544714212417603,0.2213205248117447,0.6549787521362305,9.999999747378752e-05
0.9795575141906738,0.9360408782958984,0.05456722155213356,0.7473183274269104,0.09459704160690308,0.9317551255226135,4.999999873689376e-05
0.980178952217102,0.9383659362792969,0.05261625722050667,0.7712238430976868,0.24292020499706268,0.7699320316314697,4.999999873689376e-05
0.980659008026123,0.9389933347702026,0.05116445571184158,0.8058878779411316,0.3823491930961609,0.627557635307312,4.999999873689376e-05
0.9806568026542664,0.9409034252166748,0.050958164036273956,0.7904160618782043,0.3149198591709137,0.7495496273040771,4.999999873689376e-05
0.9807916879653931,0.9407728910446167,0.05025270953774452,0.8594733476638794,0.5880807638168335,0.42214927077293396,4.999999873689376e-05
0.9811287522315979,0.9423925280570984,0.04903893172740936,0.924007773399353,0.7863222360610962,0.2292385995388031,4.999999873689376e-05
0.9813222289085388,0.9429578185081482,0.0482320562005043,0.9260314106941223,0.7948604226112366,0.2298341989517212,4.999999873689376e-05
0.9813830256462097,0.9438940286636353,0.04786628857254982,0.9327556490898132,0.8060620427131653,0.19168882071971893,4.999999873689376e-05
0.9819483757019043,0.9455828070640564,0.046255189925432205,0.964596152305603,0.8962793946266174,0.10621552914381027,4.999999873689376e-05
0.9818162322044373,0.9453141689300537,0.04698040708899498,0.9714728593826294,0.9115351438522339,0.08289657533168793,4.999999873689376e-05
0.98209547996521,0.9457120299339294,0.04551197960972786,0.9767221212387085,0.9329973459243774,0.06804241985082626,4.999999873689376e-05
0.9823144674301147,0.9468040466308594,0.04514459893107414,0.9791098833084106,0.9400796294212341,0.05896991118788719,4.999999873689376e-05
